,GC3
YIL093C,0.432539683
YIL094C,0.333333333
YIL095W,0.288776797
YIL096C,0.328267477
YIL097W,0.328712871
YIL098C,0.48
YIL099W,0.520912548
YIL101C,0.495268139
YIL102C,0.427083333
YIL103W,0.323671498
YIL104C,0.384458078
YIL105C,0.351270553
YIL106W,0.349834983
YIL107C,0.294409938
YIL108W,0.428994083
YIL109C,0.398419865
YIL110W,0.345013477
YIL111W,0.302816901
YIL112W,0.32985782
YIL113W,0.48019802
YIL114C,0.423357664
YIL115C,0.301808067
YIL116W,0.36
YIL117C,0.329032258
YIL118W,0.368888889
YIL119C,0.317258883
YIL120W,0.32293578
YIL121W,0.383301708
YIL122W,0.350299401
YIL123W,0.392703863
YIL124W,0.364583333
YIL125W,0.319796954
YIL126W,0.330566038
YIL127C,0.382352941
YIL128W,0.35218254
YIL129C,0.327797203
YIL130W,0.351636748
YIL131C,0.392324094
YIL132C,0.381642512
YIL133C,0.336734694
YIL134W,0.413333333
YIL135C,0.43498818
YIL136W,0.518518519
YIL137C,0.401971522
YIL138C,0.397435897
YIL139C,0.35
YIL140W,0.357763975
YIL142W,0.417794971
YIL143C,0.346863469
YIL144W,0.319465082
YIL145C,0.41
YIL146C,0.360465116
YIL147C,0.305625525
YIL148W,0.42519685
YIL149C,0.32218845
YIL150C,0.366906475
YIL151C,0.329916123
YIL152W,0.473684211
YIL153W,0.584450402
YIL154C,0.744744745
YIL155C,0.553054662
YIL156W,0.402298851
YIL157C,0.481865285
YIL158W,0.401015228
YIL159W,0.319371728
YIL160C,0.444987775
YIL161W,0.350877193
YIL162W,0.407920792
YIL163C,0.4375
YIL164C,0.442105263
YIL165C,0.356521739
YIL166C,0.334622824
YIL169C,0.350453172
YIL172C,0.445438283
YIL173W,0.316171617
YIL176C,0.495652174
YIL177C,0.460997067
YIR001C,0.387755102
YIR002C,0.333677686
YIR003W,0.342342342
YIR004W,0.330952381
YIR005W,0.267123288
YIR006C,0.308385308
YIR007W,0.355585831
YIR008C,0.356234097
YIR009W,0.457943925
YIR010W,0.387096774
YIR011C,0.388157895
YIR012W,0.384428224
YIR013C,0.415254237
YIR014W,0.453389831
YIR015W,0.417266187
YIR016W,0.445736434
YIR017C,0.561111111
YIR018W,0.491666667
YIR019C,0.303545052
YIR020C,0.319148936
YIR021W,0.425714286
YIR022W,0.49375
YIR023W,0.367412141
YIR024C,0.32038835
YIR025W,0.335211268
YIR026C,0.404558405
YIR027C,0.418918919
YIR028W,0.382059801
YIR029W,0.340425532
YIR030C,0.333333333
YIR031C,0.350378788
YIR032C,0.486772487
YIR033W,0.361367837
YIR034C,0.346153846
YIR035C,0.559183673
YIR036C,0.580392157
YIR037W,0.459119497
YIR038C,0.422222222
YIR039C,0.36259542
YIR041W,0.371900826
YIR042C,0.295154185
YKL001C,0.341708543
YKL002W,0.354545455
YKL003C,0.37007874
YKL004W,0.362204724
YKL005C,0.373287671
YKL006W,0.363636364
YKL007W,0.420454545
YKL008C,0.348484848
YKL009W,0.323144105
YKL010C,0.313236313
YKL011C,0.334319527
YKL012W,0.368327402
YKL013C,0.351515152
YKL014C,0.325499412
YKL015W,0.343519494
YKL016C,0.410714286
YKL017C,0.35982009
YKL018W,0.39375
YKL019W,0.552188552
YKL020C,0.415472779
YKL021C,0.331125828
YKL022C,0.374384236
YKL023W,0.433823529
YKL024C,0.5
YKL025C,0.360182371
YKL026C,0.380368098
YKL027W,0.34562212
YKL028W,0.323404255
YKL029C,0.469325153
YKL032C,0.452830189
YKL033W,0.317460317
YKL034W,0.373793103
YKL035W,0.447852761
YKL037W,0.50862069
YKL038W,0.398423818
YKL039W,0.399201597
YKL040C,0.356275304
YKL041W,0.357142857
YKL042W,0.372159091
YKL043W,0.393258427
YKL044W,0.376237624
YKL045W,0.418604651
YKL046C,0.326968974
YKL047W,0.316831683
YKL048C,0.324758842
YKL049C,0.307692308
YKL050C,0.34772979
YKL051W,0.410876133
YKL052C,0.456140351
YKL054C,0.258596974
YKL055C,0.365019011
YKL056C,0.455696203
YKL057C,0.316205534
YKL058W,0.386554622
YKL059C,0.355294118
YKL060C,0.482758621
YKL061W,0.357798165
YKL062W,0.342062193
YKL063C,0.309090909
YKL064W,0.315845824
YKL065C,0.405
YKL067W,0.260273973
YKL068W,0.341772152
YKL069W,0.354285714
YKL070W,0.371069182
YKL071W,0.361111111
YKL072W,0.337837838
YKL073W,0.337962963
YKL074C,0.357421875
YKL075C,0.368663594
YKL077W,0.325396825
YKL078W,0.312762973
YKL079W,0.32449298
YKL080W,0.379220779
YKL081W,0.398477157
YKL082C,0.34047619
YKL084W,0.410714286
YKL085W,0.448170732
YKL086W,0.634146341
YKL087C,0.436018957
YKL088W,0.398916968
YKL089W,0.340110906
YKL090W,0.372685185
YKL091C,0.396666667
YKL092C,0.34082397
YKL093W,0.357357357
YKL094W,0.43
YKL095W,0.404494382
YKL096W,0.389830508
YKL098W,0.444444444
YKL099C,0.414937759
YKL100C,0.374113475
YKL101W,0.322297297
YKL103C,0.43625498
YKL104C,0.307692308
YKL105C,0.345323741
YKL106W,0.361111111
YKL107W,0.39
YKL108W,0.360986547
YKL109W,0.387867647
YKL110C,0.425324675
YKL112W,0.398328691
YKL113C,0.37398374
YKL114C,0.363380282
YKL116C,0.31
YKL117W,0.285714286
YKL119C,0.385714286
YKL120W,0.313099042
YKL121W,0.338146811
YKL122C,0.355421687
YKL124W,0.34159292
YKL125W,0.365448505
YKL126W,0.314674735
YKL127W,0.342293907
YKL128C,0.370106762
YKL129C,0.319870759
YKL130C,0.391666667
YKL132C,0.355450237
YKL133C,0.344594595
YKL134C,0.33512786
YKL135C,0.32234957
YKL137W,0.295238095
YKL138C,0.333333333
YKL139W,0.3203125
YKL140W,0.352272727
YKL141W,0.412698413
YKL142W,0.3640553
YKL143W,0.324503311
YKL144C,0.305418719
YKL145W,0.303097345
YKL146W,0.456166419
YKL148C,0.389967638
YKL149C,0.330708661
YKL150W,0.425170068
YKL151C,0.433436533
YKL152C,0.475
YKL154W,0.316666667
YKL155C,0.330605565
YKL156W,0.37037037
YKL157W,0.32781457
YKL159C,0.380487805
YKL160W,0.328671329
YKL161C,0.298578199
YKL162C,0.345360825
YKL163W,0.314641745
YKL164C,0.317507418
YKL165C,0.330690827
YKL166C,0.382198953
YKL167C,0.330769231
YKL168C,0.315864023
YKL170W,0.365671642
YKL171W,0.35483871
YKL172W,0.358851675
YKL173W,0.334698055
YKL174C,0.346283784
YKL175W,0.385714286
YKL176C,0.387780549
YKL178C,0.345982143
YKL179C,0.316742081
YKL180W,0.35359116
YKL181W,0.337349398
YKL182W,0.343907351
YKL183W,0.531986532
YKL184W,0.353070175
YKL185W,0.339130435
YKL186C,0.44
YKL187C,0.443228454
YKL188C,0.319711538
YKL189W,0.3515625
YKL190W,0.423529412
YKL191W,0.477011494
YKL192C,0.491803279
YKL193C,0.422155689
YKL194C,0.367579909
YKL195W,0.311392405
YKL196C,0.362694301
YKL197C,0.376840039
YKL198C,0.586956522
YKL201C,0.437120555
YKL203C,0.334592779
YKL204W,0.312396694
YKL205W,0.368022706
YKL206C,0.4296875
YKL207W,0.415584416
YKL208W,0.471264368
YKL209C,0.32552504
YKL210W,0.373505976
YKL211C,0.416490486
YKL212W,0.399671053
YKL213C,0.346320346
YKL214C,0.361809045
YKL215C,0.31984127
YKL216W,0.346405229
YKL217W,0.363013699
YKL218C,0.297805643
YKL219W,0.392105263
YKL220C,0.308479532
YKL221W,0.282222222
YKL222C,0.306002928
YKL224C,0.408333333
YKR001C,0.342525399
YKR002W,0.327898551
YKR003W,0.316397229
YKR004C,0.268493151
YKR005C,0.341130604
YKR006C,0.40077821
YKR007W,0.419889503
YKR008W,0.327302632
YKR009C,0.340546697
YKR010C,0.294039735
YKR011C,0.360703812
YKR013W,0.372670807
YKR014C,0.282608696
YKR015C,0.333333333
YKR016W,0.382297552
YKR017C,0.323251418
YKR018C,0.343390805
YKR019C,0.389632107
YKR020W,0.435582822
YKR021W,0.33
YKR022C,0.368589744
YKR023W,0.324951644
YKR024C,0.343055556
YKR025W,0.396363636
YKR026C,0.315254237
YKR027W,0.349184783
YKR028W,0.325373134
YKR029C,0.292517007
YKR030W,0.383141762
YKR031C,0.314426634
YKR034W,0.471698113
YKR036C,0.354267311
YKR037C,0.397212544
YKR038C,0.4
YKR039W,0.367132867
YKR041W,0.49790795
YKR042W,0.461971831
YKR043C,0.477099237
YKR044W,0.458823529
YKR045C,0.45
YKR046C,0.586956522
YKR048C,0.657701711
YKR049C,0.664
YKR050W,0.491803279
YKR051W,0.307304786
YKR052C,0.325174825
YKR053C,0.399477807
YKR054C,0.328774063
YKR055W,0.316901408
YKR056W,0.353035144
YKR057W,0.4
YKR058W,0.348333333
YKR059W,0.399477807
YKR060W,0.397769517
YKR061W,0.356435644
YKR062W,0.4
YKR063C,0.320675105
YKR064W,0.320048309
YKR065C,0.382198953
YKR066C,0.511560694
YKR067W,0.381344307
YKR068C,0.420765027
YKR069W,0.35467128
YKR070W,0.372093023
YKR071C,0.331378299
YKR072C,0.402597403
YKR074W,0.410596026
YKR075C,0.445578231
YKR076W,0.43697479
YKR077W,0.355113636
YKR078W,0.338624339
YKR079C,0.348093481
YKR080W,0.403846154
YKR081C,0.356707317
YKR082W,0.361381754
YKR083C,0.285714286
YKR084C,0.324873096
YKR085C,0.397849462
YKR086W,0.334608031
YKR087C,0.301829268
YKR088C,0.344720497
YKR089C,0.364772727
YKR090W,0.367965368
YKR091W,0.395833333
YKR092C,0.395522388
YKR093W,0.412280702
YKR094C,0.440944882
YKR095W,0.324119241
YKR096W,0.353195164
YKR097W,0.341555977
YKR098C,0.338526912
YKR099W,0.305732484
YKR100C,0.342857143
YKR101W,0.347068146
YKR102W,0.359197908
YKR103W,0.309340189
YKR104W,0.261744966
YKR105C,0.339892665
YKR106W,0.351629503
YAL065C,0.352
YFL068W,0.480769231
YFL067W,0.283236994
YFL066C,0.46701847
YFL065C,0.418367347
YFL064C,0.458823529
YFL062W,0.368571429
YFL061W,0.388127854
YFL060C,0.35483871
YFL059W,0.411971831
YFL058W,0.50764526
YFL055W,0.342592593
YFL054C,0.322528363
YFL053W,0.347222222
YFL052W,0.373333333
YFL051C,0.352941176
YFL050C,0.313630881
YFL049W,0.339901478
YFL048C,0.339578454
YFL047W,0.3997114
YFL046W,0.33
YFL045C,0.393574297
YFL044C,0.476027397
YFL042C,0.408602151
YFL041W,0.379831933
YFL040W,0.35770751
YFL039C,0.4
YFL038C,0.572864322
YFL037W,0.416475973
YFL036W,0.319785276
YFL034C-B,0.43115942
YFL034W,0.333980583
YFL033C,0.361948956
YFL031W,0.506493506
YFL030W,0.471849866
YFL029C,0.448571429
YFL028C,0.34057971
YFL027C,0.383333333
YFL026W,0.326139089
YFL025C,0.340748231
YFL024C,0.354166667
YFL023W,0.391527599
YFL022C,0.498964803
YFL021W,0.54048583
YFL020C,0.361344538
YFL018C,0.380368098
YFL017C,0.493421053
YFL016C,0.472945892
YFL014W,0.448598131
YFL013C,0.403249631
YFL012W,0.305555556
YFL011W,0.34368932
YFL010C,0.321782178
YFL009W,0.346103038
YFL008W,0.35186722
YFL007W,0.361271676
YFL005W,0.406698565
YFL004W,0.344099379
YFL003C,0.296819788
YFL002C,0.328205128
YFL001W,0.370023419
YFR001W,0.301980198
YFR002W,0.349264706
YFR003C,0.342281879
YFR004W,0.37630662
YFR005C,0.350797267
YFR006W,0.338491296
YFR007W,0.347701149
YFR008W,0.386792453
YFR009W,0.366984993
YFR010W,0.313402062
YFR011C,0.395209581
YFR012W,0.312820513
YFR013W,0.341176471
YFR014C,0.388127854
YFR015C,0.414847162
YFR016C,0.306557377
YFR017C,0.569148936
YFR018C,0.564102564
YFR019W,0.360685302
YFR020W,0.313364055
YFR021W,0.441908714
YFR022W,0.366666667
YFR023W,0.278797997
YFR025C,0.48
YFR026C,0.402439024
YFR027W,0.405204461
YFR028C,0.403345725
YFR029W,0.468373494
YFR030W,0.36043095
YFR031C,0.343257443
YFR032C,0.50174216
YFR033C,0.458333333
YFR034C,0.6
YFR035C,0.486486486
YFR036W,0.672131148
YFR037C,0.543278085
YFR038W,0.379100851
YFR039C,0.357142857
YFR040W,0.367179487
YFR041C,0.336842105
YFR042W,0.385416667
YFR043C,0.339207048
YFR044C,0.407327586
YFR045W,0.406040268
YFR046C,0.362606232
YFR047C,0.445229682
YFR048W,0.319875776
YFR049W,0.381355932
YFR050C,0.334645669
YFR051C,0.456766917
YFR052W,0.464150943
YFR053C,0.408119658
YFR055W,0.32
YFR057W,0.310810811
YER044C-A,0.365914787
YFL010W-A,0.285714286
YKL096W-A,0.348314607
YHR079C-A,0.413793103
YHR039C-A,0.424778761
YKL006C-A,0.391304348
YEL017C-A,0.325
YFR031C-A,0.418326693
YER019C-A,0.448275862
YER087C-B,0.308641975
YAR002C-A,0.322274882
YCR079W,0.537383178
YAL034C,0.4225
YER056C-A,0.408333333
YAL064C-A,0.363636364
YAL064W-B,0.357723577
YAL068C,0.504347826
YAR066W,0.435643564
YBL111C,0.468412943
YBL112C,0.371134021
YBL113C,0.492847854
YBR084C-A,0.392473118
YBR089C-A,0.427083333
YBR162W-A,0.412698413
YDL001W,0.298076923
YDL002C,0.345177665
YDL003W,0.281021898
YDL004W,0.253164557
YDL005C,0.413301663
YDL006W,0.266666667
YDL007W,0.326241135
YDL008W,0.364779874
YDL009C,0.336538462
YDL010W,0.351111111
YDL012C,0.371428571
YDL013W,0.333333333
YDL014W,0.305031447
YDL015C,0.353535354
YDL017W,0.330595483
YDL018C,0.371040724
YDL019C,0.345381526
YDL020C,0.350574713
YDL021W,0.334437086
YDL022W,0.401055409
YDL024C,0.382417582
YDL025C,0.360330579
YDL027C,0.365196078
YDL028C,0.30458221
YDL029W,0.308310992
YDL030W,0.347572816
YDL031W,0.332988625
YDL033C,0.448877805
YDL035C,0.351409978
YDL036C,0.293333333
YDL037C,0.29245283
YDL039C,0.27826087
YDL040C,0.38313253
YDL042C,0.375457875
YDL043C,0.307692308
YDL044C,0.370629371
YDL045C,0.363945578
YDL046W,0.406976744
YDL047W,0.447811448
YDL048C,0.456431535
YDL049C,0.36328125
YDL051W,0.42804428
YDL052C,0.45862069
YDL053C,0.311111111
YDL054C,0.375536481
YDL055C,0.414772727
YDL056W,0.317283951
YDL057W,0.320754717
YDL058W,0.339783722
YDL059C,0.467811159
YDL060W,0.361256545
YDL061C,0.5
YDL063C,0.323920266
YDL064W,0.246666667
YDL065C,0.313069909
YDL066W,0.430992736
YDL067C,0.615384615
YDL069C,0.345454545
YDL070W,0.343548387
YDL072C,0.462311558
YDL073W,0.323157895
YDL074C,0.330434783
YDL075W,0.436363636
YDL076C,0.328719723
YDL077C,0.362919132
YDL078C,0.449404762
YDL079C,0.395918367
YDL080C,0.343589744
YDL081C,0.398058252
YDL082W,0.324873096
YDL083C,0.450704225
YDL084W,0.311363636
YDL085W,0.474088292
YDL086W,0.524163569
YDL087C,0.482071713
YDL088C,0.330097087
YDL089W,0.340471092
YDL090C,0.288461538
YDL091C,0.315315315
YDL092W,0.352112676
YDL093W,0.363253857
YDL095W,0.415483871
YDL097C,0.477541371
YDL098C,0.391534392
YDL099W,0.314199396
YDL100C,0.374631268
YDL101C,0.362376238
YDL102W,0.314500942
YDL103C,0.361290323
YDL104C,0.294117647
YDL105W,0.321336761
YDL106C,0.327838828
YDL107W,0.382789318
YDL108W,0.336805556
YDL109C,0.402889246
YDL110C,0.595890411
YDL111C,0.384615385
YDL112W,0.360891445
YDL113C,0.3488
YDL114W,0.311036789
YDL115C,0.32
YDL116W,0.338526912
YDL117W,0.339201878
YDL119C,0.35472973
YDL120W,0.297619048
YDL121C,0.337837838
YDL122W,0.327433628
YDL123W,0.408759124
YDL124W,0.424342105
YDL125C,0.45751634
YDL126C,0.316440049
YDL127W,0.416666667
YDL128W,0.387341772
YDL129W,0.377622378
YDL130W,0.368932039
YDL131W,0.422632794
YDL132W,0.360509554
YDL133W,0.355294118
YDL134C,0.348441926
YDL133C-A,0.434782609
YDL135C,0.35678392
YDL136W,0.504201681
YDL137W,0.423529412
YDL138W,0.41025641
YDL139C,0.433179724
YDL140C,0.276252983
YDL141W,0.329359165
YDL142C,0.346715328
YDL143W,0.385658915
YDL144C,0.575144509
YDL145C,0.31900258
YDL146W,0.363057325
YDL147W,0.37037037
YDL148C,0.310913706
YDL149W,0.364948454
YDL150W,0.368038741
YDL153C,0.302013423
YDL154W,0.317351598
YDL155W,0.378640777
YDL156W,0.417322835
YDL157C,0.327272727
YDL159W,0.352475248
YDL160C,0.3299389
YDL161W,0.366515837
YDL164C,0.364383562
YDL165W,0.375690608
YDL166C,0.423280423
YDL167C,0.321377331
YDL168W,0.322751323
YDL169C,0.393518519
YDL170W,0.44140625
YDL171C,0.314547206
YDL173W,0.496551724
YDL174C,0.47079646
YDL175C,0.324483776
YDL176W,0.307467057
YDL177C,0.384146341
YDL178W,0.336575875
YDL179W,0.354948805
YDL180W,0.392789374
YDL181W,0.445783133
YDL182W,0.465558195
YDL183C,0.349358974
YDL184C,0.47826087
YDL185W,0.32177264
YDL186W,0.373134328
YDL188C,0.358333333
YDL189W,0.34841629
YDL190C,0.33970276
YDL191W,0.495798319
YDL192W,0.341176471
YDL193W,0.357142857
YDL194W,0.319719953
YDL195W,0.346839546
YDL197C,0.453667954
YDL198C,0.416382253
YDL199C,0.358974359
YDL200C,0.338797814
YDL201W,0.412408759
YDL202W,0.429166667
YDL203C,0.36318408
YDL204W,0.451948052
YDL205C,0.378980892
YDL206W,0.319407008
YDL207W,0.357692308
YDL208W,0.428571429
YDL209C,0.348623853
YDL210W,0.311233886
YDL211C,0.351351351
YDL212W,0.383084577
YDL213C,0.391891892
YDL214C,0.377386197
YDL215C,0.352941176
YDL216C,0.330188679
YDL217C,0.265306122
YDL218W,0.382352941
YDL219W,0.307692308
YDL220C,0.479028698
YDL222C,0.538720539
YDL223C,0.337231969
YDL224C,0.313479624
YDL225W,0.335185185
YDL226C,0.356725146
YDL227C,0.323374341
YDL229W,0.411960133
YDL230W,0.481132075
YDL231C,0.369685767
YDL232W,0.5625
YDL233W,0.376712329
YDL234C,0.379407616
YDL235C,0.360248447
YDL236W,0.371710526
YDL237W,0.35106383
YDL238C,0.405063291
YDL239C,0.286821705
YDL240W,0.333672431
YDL241W,0.32231405
YDL243C,0.327974277
YDL244W,0.490853659
YDL245C,0.36802974
YDL246C,0.376068376
YDL247W,0.335628227
YDL248W,0.369014085
YDR001C,0.326869806
YDR002W,0.374358974
YDR003W,0.344827586
YDR004W,0.331838565
YDR005C,0.322164948
YDR006C,0.342824601
YDR007W,0.337899543
YDR009W,0.349112426
YDR011W,0.337273992
YDR012W,0.456090652
YDR013W,0.308457711
YDR014W,0.312
YDR016C,0.433333333
YDR017C,0.339530333
YDR018C,0.389473684
YDR019C,0.368556701
YDR020C,0.351111111
YDR021W,0.261096606
YDR022C,0.333333333
YDR023W,0.355555556
YDR025W,0.503267974
YDR026C,0.342541436
YDR027C,0.349132948
YDR028C,0.312121212
YDR030C,0.306418219
YDR031W,0.327586207
YDR032C,0.366492147
YDR033W,0.372093023
YDR034C,0.317708333
YDR035W,0.39275766
YDR036C,0.353430353
YDR037W,0.355008787
YDR038C,0.362332696
YDR039C,0.363288719
YDR040C,0.365550239
YDR041W,0.38071066
YDR042C,0.340206186
YDR043C,0.292035398
YDR044W,0.365384615
YDR045C,0.266666667
YDR046C,0.390924956
YDR047W,0.411764706
YDR049W,0.387254902
YDR050C,0.450819672
YDR051C,0.33126935
YDR052C,0.334788937
YDR054C,0.383802817
YDR055W,0.437357631
YDR056C,0.328282828
YDR057W,0.324427481
YDR058C,0.355769231
YDR059C,0.34965035
YDR060W,0.339940535
YDR061W,0.380582524
YDR062W,0.311233886
YDR063W,0.342657343
YDR064W,0.438356164
YDR065W,0.338983051
YDR066C,0.329787234
YDR067C,0.290322581
YDR068W,0.362126246
YDR069C,0.328159645
YDR070C,0.433333333
YDR071C,0.372972973
YDR072C,0.410358566
YDR073W,0.397590361
YDR074W,0.350058343
YDR075W,0.273648649
YDR076W,0.356060606
YDR077W,0.363095238
YDR078C,0.322580645
YDR079W,0.299065421
YDR080W,0.291796469
YDR081C,0.303370787
YDR082W,0.339662447
YDR083W,0.304232804
YDR084C,0.368983957
YDR085C,0.350498339
YDR086C,0.392405063
YDR087C,0.411320755
YDR088C,0.319783198
YDR089W,0.322769953
YDR090C,0.315068493
YDR091C,0.301507538
YDR092W,0.358108108
YDR093W,0.382447149
YDR096W,0.334101382
YDR097C,0.308724832
YDR098C,0.37704918
YDR099W,0.308270677
YDR100W,0.407142857
YDR101C,0.288927336
YDR103W,0.301886792
YDR104C,0.314830157
YDR105C,0.331096197
YDR106W,0.345323741
YDR107C,0.335403727
YDR108W,0.329341317
YDR109C,0.314949202
YDR110W,0.288566243
YDR111C,0.373737374
YDR113C,0.357723577
YDR114C,0.372340426
YDR115W,0.4
YDR116C,0.306049822
YDR117C,0.362318841
YDR118W,0.3234375
YDR119W,0.341463415
YDR120C,0.364130435
YDR121W,0.367875648
YDR122W,0.346341463
YDR123C,0.401360544
YDR124W,0.360128617
YDR125C,0.338785047
YDR126W,0.421052632
YDR127W,0.321428571
YDR128W,0.333333333
YDR129C,0.354632588
YDR130C,0.392226148
YDR131C,0.355018587
YDR132C,0.340909091
YDR135C,0.334934798
YDR137W,0.303875969
YDR138W,0.342032967
YDR139C,0.333333333
YDR140W,0.322429907
YDR141C,0.330904675
YDR142C,0.327731092
YDR143C,0.32892562
YDR144C,0.363793103
YDR145W,0.340304183
YDR146C,0.311688312
YDR147W,0.315686275
YDR148C,0.360801782
YDR150W,0.358764421
YDR151C,0.357366771
YDR152W,0.40234375
YDR153C,0.424317618
YDR155C,0.5
YDR156W,0.597014925
YDR158W,0.376044568
YDR159W,0.307570978
YDR160W,0.317518248
YDR161W,0.328877005
YDR162C,0.336244541
YDR163W,0.34502924
YDR164C,0.343618513
YDR165W,0.321100917
YDR166C,0.344244984
YDR167W,0.361386139
YDR168W,0.340206186
YDR169C,0.334661355
YDR170C,0.324296675
YDR171W,0.401617251
YDR172W,0.359516616
YDR173C,0.322674419
YDR174W,0.448559671
YDR175C,0.314935065
YDR176W,0.317784257
YDR177W,0.368421053
YDR178W,0.416666667
YDR179C,0.277419355
YDR179W-A,0.316964286
YDR180W,0.331734064
YDR181C,0.330453564
YDR182W,0.314775161
YDR183W,0.308370044
YDR184C,0.311188811
YDR185C,0.43452381
YDR186C,0.446261682
YDR188W,0.563909774
YDR189W,0.407066052
YDR190C,0.307692308
YDR191W,0.382271468
YDR192C,0.305687204
YDR194C,0.314984709
YDR195W,0.365900383
YDR196C,0.331896552
YDR197W,0.333333333
YDR198C,0.367741935
YDR200C,0.278716216
YDR201W,0.394904459
YDR202C,0.346153846
YDR204W,0.421875
YDR205W,0.362606232
YDR206W,0.353151011
YDR207C,0.419198056
YDR208W,0.352631579
YDR210W,0.297297297
YDR211W,0.33090379
YDR212W,0.311355311
YDR213W,0.361363636
YDR214W,0.495601173
YDR216W,0.340310078
YDR217C,0.309076682
YDR218C,0.342925659
YDR219C,0.300884956
YDR221W,0.371552975
YDR222W,0.358208955
YDR223W,0.344155844
YDR224C,0.372093023
YDR225W,0.351145038
YDR226W,0.396226415
YDR227W,0.307057057
YDR228C,0.350819672
YDR229W,0.423423423
YDR231C,0.523809524
YDR232W,0.463551402
YDR233C,0.397923875
YDR234W,0.411589896
YDR235W,0.339731286
YDR236C,0.319248826
YDR237W,0.345070423
YDR238C,0.3407173
YDR239C,0.33290653
YDR240C,0.305439331
YDR242W,0.322580645
YDR243C,0.329225352
YDR244W,0.33447099
YDR245W,0.356164384
YDR246W,0.495238095
YDR247W,0.415178571
YDR248C,0.367567568
YDR249C,0.337016575
YDR251W,0.327564895
YDR252W,0.372413793
YDR253C,0.305263158
YDR254W,0.293453725
YDR255C,0.37408313
YDR256C,0.360721443
YDR257C,0.308823529
YDR258C,0.301387137
YDR259C,0.288770053
YDR260C,0.366459627
YDR261C,0.373382625
YDR262W,0.360902256
YDR263C,0.295399516
YDR264C,0.33877551
YDR265W,0.360248447
YDR266C,0.33968254
YDR267C,0.311897106
YDR268W,0.336986301
YDR270W,0.341589267
YDR272W,0.346007605
YDR273W,0.364640884
YDR275W,0.400881057
YDR276C,0.411764706
YDR277C,0.384615385
YDR279W,0.317784257
YDR280W,0.331081081
YDR281C,0.46
YDR282C,0.351620948
YDR283C,0.302557704
YDR284C,0.363636364
YDR285W,0.307334109
YDR286C,0.336363636
YDR287W,0.311827957
YDR288W,0.337837838
YDR289C,0.305555556
YDR291W,0.303349282
YDR292C,0.300826446
YDR293C,0.331158238
YDR294C,0.374113475
YDR295C,0.377643505
YDR296W,0.523148148
YDR297W,0.455927052
YDR298C,0.393364929
YDR299W,0.335863378
YDR300C,0.318072289
YDR301W,0.336115326
YDR302W,0.3125
YDR303C,0.340672074
YDR304C,0.442396313
YDR305C,0.301435407
YDR306C,0.354211663
YDR307W,0.331753555
YDR308C,0.360294118
YDR309C,0.397877984
YDR310C,0.379477251
YDR311W,0.38647343
YDR312W,0.281179138
YDR313C,0.371428571
YDR314C,0.335832084
YDR315C,0.323420074
YDR316W,0.301762115
YDR317W,0.309405941
YDR318W,0.314763231
YDR319C,0.307392996
YDR320C,0.357032457
YDR321W,0.360962567
YDR322W,0.352112676
YDR323C,0.345309381
YDR324C,0.313253012
YDR325W,0.337289812
YDR326C,0.313210227
YDR328C,0.548387097
YDR329C,0.454976303
YDR330W,0.39835729
YDR331W,0.378787879
YDR332W,0.304804805
YDR333C,0.332853026
YDR334W,0.331756757
YDR335W,0.34219554
YDR336W,0.339869281
YDR337W,0.333333333
YDR338C,0.331343284
YDR339C,0.375
YDR341C,0.335060449
YDR342C,0.346368715
YDR343C,0.34264432
YDR345C,0.331450094
YDR346C,0.336206897
YDR347W,0.376623377
YDR348C,0.346855984
YDR349C,0.339655172
YDR350C,0.34841629
YDR351W,0.330120482
YDR352W,0.360128617
YDR353W,0.409090909
YDR354W,0.375675676
YDR356W,0.328648649
YDR357C,0.36440678
YDR358W,0.344322344
YDR359C,0.323529412
YDR361C,0.350180505
YDR362C,0.334346505
YDR363W,0.319727891
YDR364C,0.304054054
YDR365C,0.348534202
YDR366C,0.292307692
YDR367W,0.341232227
YDR368W,0.326666667
YDR369C,0.300724638
YDR370C,0.291079812
YDR371W,0.315682281
YDR372C,0.319277108
YDR373W,0.35359116
YDR374C,0.317567568
YDR375C,0.374712644
YDR376W,0.337526205
YDR377W,0.295918367
YDR378C,0.421686747
YDR379W,0.342396777
YDR380W,0.33495935
YDR381W,0.357466063
YDR382W,0.342592593
YDR383C,0.357758621
YDR384C,0.492366412
YDR385W,0.441430333
YDR386W,0.313821138
YDR387C,0.332706767
YDR388W,0.375796178
YDR389W,0.333853354
YDR390C,0.319422151
YDR391C,0.40969163
YDR392W,0.365625
YDR393W,0.371298405
YDR394W,0.354916067
YDR395W,0.356359649
YDR397C,0.528571429
YDR398W,0.4
YDR399W,0.392523364
YDR400W,0.314984709
YDR402C,0.313559322
YDR403W,0.318618042
YDR404C,0.323353293
YDR405W,0.541501976
YDR406W,0.356117567
YDR407C,0.35948759
YDR408C,0.5215311
YDR409W,0.321995465
YDR410C,0.350649351
YDR411C,0.40247678
YDR412W,0.422413793
YDR414C,0.372093023
YDR415C,0.375
YDR416W,0.306196841
YDR418W,0.380368098
YDR419W,0.351791531
YDR420W,0.337807606
YDR421W,0.334782609
YDR422C,0.332493703
YDR423C,0.383458647
YDR424C,0.5
YDR425W,0.355263158
YDR427W,0.310526316
YDR428C,0.338645418
YDR429C,0.275471698
YDR430C,0.343717549
YDR432W,0.303921569
